Title,Year,Publication,Score,Critic,Snippet,Date Written
Presence,2025,The Independent,80,Clarisse Loughrey,"Presence’s greatest feat, and presumably Soderbergh’s main interest in the project, is in how alive and defined a character our ghost is.","Jan 27, 2025"
Presence,2025,Time,80,Stephanie Zacharek,"Presence follows you home, long after the camera has stopped rolling.","Jan 27, 2025"
Presence,2025,The Associated Press,75,Lindsey Bahr,"The camera is the ghost in Steven Soderbergh’s chillingly effective, experiential haunted house drama “Presence.”","Jan 22, 2025"
Presence,2025,Chicago Sun-Times,75,Richard Roeper,"Everything we witness in this film is literally seen through the point of view of a spectral presence, but it’s the machinations of a deeply dysfunctional nuclear family that makes it all so intriguing.","Jan 22, 2025"
Presence,2025,Chicago Tribune,75,Michael Phillips,"The movie operates with a nicely unpredictable rhythm, both short and longer shots ending abruptly, sometimes comically, popping us into the next one.","Jan 23, 2025"
Presence,2025,Movie Nation,75,Roger Moore,"Its blend of mystery, suspense, chills and pathos are perfectly pitched. Presence is simply sublime.","Jan 24, 2025"
Presence,2025,LarsenOnFilm,75,Josh Larsen,"Soderbergh, who serves as editor, cinematographer, and director, gets significant mileage out of the visual conceit alone.","Jan 30, 2025"
Presence,2025,TheWrap,70,,"Each time we are thrown into something new, the film teases out moments of humor built around the family’s dysfunction just as it draws out a growing feeling that something bad is coming.","Jan 20, 2024"
Presence,2025,Collider,70,Ross Bonaime,"Told from the perspective of a “presence” in a house, Soderbergh explores this type of horror story in a way that only he can, playing with the structure of similar films, screwing with our expectations for this type of film, and once more, testing himself while showing the untapped potential in the genre.","Jan 20, 2024"
Presence,2025,We Got This Covered,70,Marco Vito Oddo,"While 'Presence' may not deliver traditional horror scares, Soderbergh's innovative ghost's-eye-view approach and strong performances create an intriguing supernatural drama that prioritizes technical brilliance over frights.","Jan 15, 2025"
Presence,2025,Los Angeles Times,70,Amy Nicholson,"Presence is being sold as a ghost story, but it’s more like a family drama disguised under a sheet. The eye holes are the only thing separating it from a thousand other ordinary little films about the injuries people do to those they love. Otherwise, the story doesn’t have enough flesh on its bones to hold our interest.","Jan 23, 2025"
Presence,2025,The Atlantic,70,David Sims,"Presence, like much of the director’s recent work, is less an entrée than a charming apéritif, albeit with a couple of smart twists worth ruminating on.","Jan 27, 2025"
Presence,2025,IndieWire,67,Katie Rife,"The problem is that, while the film is conceptually solid, its story gets shakier as it goes along.","Jan 20, 2024"
Presence,2025,Austin Chronicle,67,Richard Whittaker,"Both Koepp and Soderbergh are to blame for the underdelivery of a pivotal, plot-defining, single line of dialogue that should have been a strand woven throughout the film.","Jan 23, 2025"
Presence,2025,The Seattle Times,63,Katie Walsh,"Koepp is one of the most successful screenwriters of all time, and Presence feels like one of the screenplays from his discard pile that Soderbergh scooped up for a quickie experiment. The experiment was indeed successful, but the story itself isn’t.","Jan 23, 2025"
Presence,2025,Variety,60,Owen Gleiberman,"You want the movie to add up to something, but what it adds up to is another half-diverting, half-satisfying Soderbergh bauble, only this time he’s the ghost in the machine.","Jan 20, 2024"
Presence,2025,The Guardian,60,Benjamin Lee,"Soderbergh operating at a lower level is still higher than many of his peers. Presence just never fully comes together in the way we hope, a ghost story haunted more by the possibility of what it could have been.","Jan 22, 2024"
Presence,2025,The Guardian,60,Peter Bradshaw,"It is well-acted, disciplined and intimate as a play. But for me it is marred by an early, unsubtle moment of overt supernatural creepiness, which signals a retreat from ingenuity and restraint.","Jan 22, 2025"
Presence,2025,The Irish Times,60,Tara Brady,"We’re never properly spooked. The presence, ironically, lacks presence. An excellent cast and flashy film-making ensure we are entertained, nonetheless.","Jan 24, 2025"
Presence,2025,The Observer (UK),60,Wendy Ide,"The element that makes this intriguing – the ghost POV shooting technique – is also a problem, undermining the suspense and distancing the audience from the vulnerable girl whose fate is in the balance.","Jan 27, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,Variety,100,Owen Gleiberman,"Questlove confronts the life and legacy of Sly Stone, investigates it, holds it up to the light, tears it apart, and puts it back together like the bravura mixmaster he is.","Jan 26, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,RogerEbert.com,88,Robert Daniels,"Melodically vital and bracingly frank, Questlove’s uptempo Sundance documentary “Sly Lives! (aka The Burden of Black Genius)” is a sonic kick to the soul.","Jan 24, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,Rolling Stone,80,David Fear,It’s a music doc that takes its music-doc responsibilities seriously.,"Jan 24, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,The Hollywood Reporter,80,Lovia Gyarkye,Questlove shapes an engaging narrative that charts Stone’s undulating career.,"Jan 26, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,New York Magazine (Vulture),80,Bilge Ebiri,"You walk out of Sly Lives! feeling like you’ve genuinely learned something, but you also walk out exhilarated.","Jan 26, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,Screen Daily,80,Tim Grierson,"Thompson reveals his deep love for this musician by looking past the rock-doc cliches, searching for the soul of a man who put every ounce of it into his songs.","Jan 26, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,Collider,80,Ross Bonaime,"Considering how electric Stone’s work and life are, SLY LIVES! more than makes up for its standard documentary style through Stone’s gripping story, and Questlove’s exploration of the revolutionary music.","Jan 26, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,Slant Magazine,75,Chris Barsanti,Sly Lives! pays appropriate credit to its subject’s greatness by not devolving into pity even after depicting Stone at his lowest points.,"Feb 3, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,San Francisco Chronicle,75,Chris Vognar,"Sly Lives! may not provide definitive answers, but the fact that it even asks those questions puts it a cut above most films in its genre.","Feb 5, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,The Playlist,75,Rodrigo Perez,"‘Sly Lives!’: should we file it under good doc? Sure, it’s very watchable. But does it really unpack the burden of black genius? Well, that is a thing, to be honest. The culture moves on fast and the standards to which black artists are held are always way more ruthless and higher. I’m just not entirely convinced it lands this thesis as well as it hopes it does.","Feb 6, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,The New York Times,60,Wesley Morris,"The movie gets lost in the gulf between standard, if illuminating, biography and roiling existential crisis.","Feb 14, 2025"
Sly Lives! (aka The Burden of Black Genius),2025,IndieWire,58,Vikram Murthi,"As much as Questlove probes his many interviewees with questions about the expectations and responsibility that comes with “Black genius,” his film doesn’t live up to the ambitious framework he puts forth.","Jan 26, 2025"
Rose,2025,RogerEbert.com,88,Marya E. Gates,"Inspired in part by Saada’s own grandmother, the filmmaker infuses “Rose” with an infectious sense of joie de vivre. It’s a film about appreciating the small pleasures in life, like dancing alone in your kitchen while baking sweet treats for a lover.","Jan 24, 2025"
Rose,2025,The New York Times,70,Ben Kenigsberg,"In the closing scene, Saada, relying on a fierce bit of acting by Fabian, finds a way to pose the question directly to the audience of what Rose’s life should look like. The answer is clear.","Jan 23, 2025"
Rose,2025,Variety,50,Jay Weissberg,"Though the storied actress’ personality offers moments of charm and occasional depth, a weak, cliché-riddled script reduces almost everyone to a maximum of two characteristics.","Aug 9, 2021"
Rose,2025,The Film Stage,42,Alistair Ryder,"Grief is a messy experience, and Saada’s film never manages to grapple with how much of an impact it can still have that late in life. It’s too neat a portrayal of an emotionally turbulent moment––a Rose I wish had more thorns.","Jan 27, 2025"
